,Name,Gender,DOB,Occupation,Block/Village,District/city,State,PIN,NomineeName,NomineeRelation,NomineeAge,PolicyId,Insurer,Typeofcover,EffectiveDate,ExpiryDate,PremiumRate,PremiumMode,PolicyName,InsuranceCompany
2934,NITIN AGRAWAL,Male,8/6/1984,tech-support,shevgaon,Chennai,Tamil Nadu,204213,noone,tech-support,37,2934,Ajay,life insurance for one person,6/24/1990,7/7/2020,7.5%,online,Pru Signature,Bajaj Allianz Life Insurance Co. Ltd.
2935,venkata tummala,Male,7/31/1984,exec-managerial,kopargaon,Hyderabad,Andhra Pradesh,609108,noone,sales,43,2935,Ajay,life insurance for one person,4/7/1992,7/7/2020,5%,offline,Health insurance plan,ICICI Prudential Life Insurance Co. Ltd
2936,Innus Mulani,Male,30835,prof-specialty,mahur,Chennai,Tamil Nadu,207242,noone,prof-specialty,29,2936,suraj,life insurance for one person,10/31/2013,7/7/2020,7.5%,online,aadhar shila,Max Life Insurance Co. Ltd.
2937,kalirajan bose,Male,6/2/1981,handlers-cleaners,dehtora,Chennai,Tamil Nadu,494115,noone,prof-specialty,41,2937,Rahul,life insurance for one person,7/16/1995,7/7/2020,7.5%,online,Life Uday,HDFC Life Insurance Co. Ltd
2938,ashish agarwal,Male,11/23/1980,armed-forces,bahariya,New Delhi,Delhi,250001,noone,other-service,38,2938,Rahul,life insurance for one person,8/9/2003,7/7/2020,7.5%,online,Health insurance plan,ICICI Prudential Life Insurance Co. Ltd
2939,ipsita mohapatr,female,4/9/1985,priv-house-serv,banda,Bhubaneshwar,Orissa,473551,noone,other-service,39,2939,Praveen,life insurance for one person,10/2/1992,7/7/2020,7.5%,offline,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
2940,IRAI ANBU,Male,3/1/1982,tech-support,kandhar,Salem,Tamil Nadu,221204,noone,prof-specialty,40,2940,suraj,life insurance for one person,3/12/1994,7/7/2020,7.5%,offline,jeevan anand,ICICI Prudential Life Insurance Co. Ltd
2941,abdul khadeer,Male,30071,craft-repair,kudal,Hyderabad,Andhra Pradesh,505532,noone,armed-forces,50,2941,Ankit,life insurance for one person,4/10/1992,7/7/2020,6%,online,term insurance with return,Bajaj Allianz Life Insurance Co. Ltd.
2942,Irfan Ahmed,Male,20191,tech-support,kandhar,Chennai,Tamil Nadu,271609,noone,adm-clerical,33,2942,Praveen,life insurance for one person,12/9/2005,7/7/2020,6%,offline,Term Insurance,ICICI Prudential Life Insurance Co. Ltd
2943,IRSHAD AHMED,Male,11/8/1981,sales,Hingna,Bhilai,Chhatisgarh,497235,noone,tech-support,32,2943,Ankit,life insurance for one person,12/28/1998,7/7/2020,5%,offline,sampoorna nivesh,Max Life Insurance Co. Ltd.
2944,mohammed rishad,Male,7/28/1985,priv-house-serv,kudal,Chennai,Tamil Nadu,523303,noone,tech-support,37,2944,Rahul,life insurance for one person,1/25/2008,7/7/2020,5%,online,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
2945,krishna prasad,Male,2/19/1989,handlers-cleaners,jonai,Hyderabad,Andhra Pradesh,743611,noone,handlers-cleaners,43,2945,Praveen,life insurance for one person,9/16/1997,7/7/2020,7.5%,offline,jeevan labh,Life Insurance Corporation of India
2946,Isaiamudhu Hari,female,1/29/1984,sales,kalamb,Bangalore,Karnataka,486670,noone,sales,38,2946,suraj,life insurance for one person,7/14/1997,7/7/2020,6%,online,jeevan anand,Max Life Insurance Co. Ltd.
2947,MOHAMED ANAS,Male,11/28/1978,machine-op-inspct,rajpur,Hyderabad,Andhra Pradesh,686545,noone,handlers-cleaners,30,2947,Rahul,life insurance for one person,8/29/2010,7/7/2020,7.5%,offline,aadhar shila,Bajaj Allianz Life Insurance Co. Ltd.
2948,Mohammad Isar A,Male,29953,tech-support,kalwan,Medininagar,Jharkhand,403710,noone,craft-repair,33,2948,Praveen,life insurance for one person,12/5/2013,7/7/2020,5%,offline,Health insurance plan,Bajaj Allianz Life Insurance Co. Ltd.
2949,Isha Basheer,Female,31739,protective-serv,kopargaon,Kottayam,Kerala,133301,noone,armed-forces,36,2949,Rahul,life insurance for one person,12/14/1991,7/7/2020,7.5%,offline,term insurance with return,Life Insurance Corporation of India
2950,Ashok Mittal,Male,2/1/1961,sales,sunari,Bhatinda,Punjab,854335,noone,adm-clerical,22,2950,Praveen,life insurance for one person,4/24/2012,7/7/2020,5%,online,aadhar shila,Max Life Insurance Co. Ltd.
2951,ISHAN DAS,Male,4/26/1967,tech-support,albatia,Kolkata,West Bengal,562112,noone,sales,34,2951,Praveen,life insurance for one person,4/10/1996,7/7/2020,7.5%,online,sampoorna nivesh,HDFC Life Insurance Co. Ltd
2952,ishan bansal,Male,32243,transport-moving,kalwan,jaitu,Punjab,414005,noone,prof-specialty,29,2952,Rahul,life insurance for one person,10/12/2002,7/7/2020,5%,offline,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
2953,isha rawat,Female,31646,tech-support,artauni,Dehradun,Uttaranchal,493225,noone,tech-support,31,2953,Ankit,life insurance for one person,4/13/2006,7/7/2020,6%,offline,Sampoorna samridhi plus,Bajaj Allianz Life Insurance Co. Ltd.
2954,POOJA KHURANA,Female,3/3/1984,craft-repair,azizpur,New Delhi,Delhi,132101,noone,machine-op-inspct,45,2954,Rahul,life insurance for one person,6/24/2003,7/7/2020,6%,online,aadhar shila,Max Life Insurance Co. Ltd.
2955,V C ABBIGERI AB,Male,7/18/1965,tech-support,saiyyan,Dharwad,Karnataka,761118,noone,other-service,33,2955,Ajay,life insurance for one person,5/11/2010,7/7/2020,5%,online,aadhar shila,Bajaj Allianz Life Insurance Co. Ltd.
2956,I SRINIVAS RAO,Male,3/16/1970,other-service,kudal,Chennai,Tamil Nadu,782403,noone,prof-specialty,60,2956,Ankit,life insurance for one person,12/31/2012,7/7/2020,5%,offline,sampoorna nivesh,Life Insurance Corporation of India
2957,bhupesh kumar,Male,11/3/1982,adm-clerical,lakhni,begusarai,Bihar,142033,noone,prof-specialty,40,2957,suraj,life insurance for one person,1/27/1990,7/7/2020,5%,online,sampoorna nivesh,Life Insurance Corporation of India
2958,INDRAJEET SONKA,Male,6/2/1971,handlers-cleaners,alibag,Chirmiri,Chhatisgarh,628618,noone,tech-support,61,2958,Praveen,life insurance for one person,12/6/1995,7/7/2020,6%,online,Life Uday,Bajaj Allianz Life Insurance Co. Ltd.
2959,itesh dua,Male,10/8/1979,prof-specialty,Ajhai,Kaithal,Haryana,141102,noone,transport-moving,27,2959,Rahul,life insurance for one person,11/3/1990,7/7/2020,5%,online,Pru Signature,ICICI Prudential Life Insurance Co. Ltd
2960,Prabhu Nataraja,Male,6/14/1984,craft-repair,jaitpur kalan,Coimbatore,Tamil Nadu,249301,noone,craft-repair,38,2960,Ajay,life insurance for one person,5/4/2000,7/7/2020,5%,online,jeevan umang,Max Life Insurance Co. Ltd.
2961,Raja sekhar,Male,5/22/1988,prof-specialty,medhava,Vishakapatnam,Andhra Pradesh,753009,noone,armed-forces,38,2961,Praveen,life insurance for one person,7/7/1996,7/7/2020,5%,offline,Life Uday,Max Life Insurance Co. Ltd.
2962,KAMALAKANNAN KA,Male,29927,tech-support,indapur,Chennai,Tamil Nadu,416122,noone,priv-house-serv,30,2962,Ajay,life insurance for one person,3/10/1991,7/7/2020,7.5%,online,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
2963,Arunachalam Kal,Male,5/19/1978,prof-specialty,medhava,Chennai,Tamil Nadu,205267,noone,farming-fishing,38,2963,Ajay,life insurance for one person,5/21/2000,7/7/2020,7.5%,offline,jeevan labh,Life Insurance Corporation of India
2964,Shalini Manivan,female,9/30/1989,adm-clerical,baad,Chennai,Tamil Nadu,591265,noone,protective-serv,30,2964,Ajay,life insurance for one person,3/6/2005,7/7/2020,5%,offline,term insurance with return,Bajaj Allianz Life Insurance Co. Ltd.
2965,Sunil Kumar sin,Male,28185,prof-specialty,nunhai,Bhopal,Madhya Pradesh,494665,noone,machine-op-inspct,27,2965,suraj,life insurance for one person,6/3/2014,7/7/2020,6%,offline,jeevan umang,HDFC Life Insurance Co. Ltd
2966,Srinivas Prasad,Male,7/12/1969,exec-managerial,mandi,Hyderabad,Andhra Pradesh,824111,noone,tech-support,38,2966,Rahul,life insurance for one person,2/22/1992,7/7/2020,5%,online,sanchay,Max Life Insurance Co. Ltd.
2967,RAJEEV KRISHNA,Male,10/29/1983,protective-serv,akole,Jaipur,Rajasthan,226020,noone,exec-managerial,41,2967,suraj,life insurance for one person,1/26/1994,7/7/2020,6%,online,term insurance with return,Bajaj Allianz Life Insurance Co. Ltd.
2968,umesh kumar yad,Male,3/15/1984,prof-specialty,harali,Jhansi,Uttar Pradesh,844122,noone,armed-forces,36,2968,Rahul,life insurance for one person,6/26/2000,7/7/2020,5%,offline,jeevan anand,Bajaj Allianz Life Insurance Co. Ltd.
2969,IVATURI MURTHY,Male,32661,tech-support,kinwat,Vishakapatnam,Andhra Pradesh,522659,noone,protective-serv,35,2969,Ankit,life insurance for one person,8/15/2002,7/7/2020,6%,offline,Sampoorna samridhi plus,Bajaj Allianz Life Insurance Co. Ltd.
2970,KAMY L,female,9/9/1977,other-service,deola,Hyderabad,Andhra Pradesh,326023,noone,exec-managerial,32,2970,Ajay,life insurance for one person,12/22/2012,7/7/2020,6%,online,jeevan anand,HDFC Life Insurance Co. Ltd
2971,poornima iyer,Female,11/1/1983,craft-repair,rahata,Coimbatore,Tamil Nadu,731129,noone,adm-clerical,29,2971,Rahul,life insurance for one person,9/29/1997,7/7/2020,7.5%,offline,term insurance with return,HDFC Life Insurance Co. Ltd
2972,shailaja iyer,Female,7/6/1983,craft-repair,shrirampur,Pune,Maharashtra,362260,noone,tech-support,35,2972,Rahul,life insurance for one person,4/23/1995,7/7/2020,7.5%,offline,aadhar shila,ICICI Prudential Life Insurance Co. Ltd
2973,Venkatakrishnan,Male,31688,adm-clerical,kaij,Mumbai,Maharashtra,523228,noone,adm-clerical,36,2973,Ankit,life insurance for one person,10/9/1990,7/7/2020,5%,offline,jeevan anand,ICICI Prudential Life Insurance Co. Ltd
2974,Arun Jawahar,Male,10/10/1987,farming-fishing,borivali,Madurai,Tamil Nadu,533249,noone,sales,27,2974,Rahul,life insurance for one person,7/10/2012,7/7/2020,6%,online,jeevan anand,Bajaj Allianz Life Insurance Co. Ltd.
2975,Jasthi Bhagath,Male,8/12/1961,armed-forces,alikha,Bhubaneshwar,Orissa,412218,noone,exec-managerial,29,2975,suraj,life insurance for one person,3/25/2007,7/7/2020,6%,offline,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
2976,jitender bharti,Male,1/16/1982,prof-specialty,bhor,Kolkata,West Bengal,847422,noone,sales,38,2976,suraj,life insurance for one person,12/25/1991,7/7/2020,5%,online,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
2977,JITENDRA CHANDI,Male,28704,armed-forces,rahuri,Pune,Maharashtra,531151,noone,tech-support,44,2977,Ajay,life insurance for one person,10/11/2003,7/7/2020,6%,online,Life Uday,Bajaj Allianz Life Insurance Co. Ltd.
2978,NAIJU JOSEPH,Male,5/25/1982,sales,jonai,Chennai,Tamil Nadu,517571,noone,tech-support,45,2978,suraj,life insurance for one person,11/5/2000,7/7/2020,5%,offline,term insurance with return,Bajaj Allianz Life Insurance Co. Ltd.
2979,Jagadeesh kanne,Male,24429,exec-managerial,dhandhupura,Secunderabad,Andhra Pradesh,534475,noone,prof-specialty,46,2979,suraj,life insurance for one person,4/19/2007,7/7/2020,5%,offline,jeevan anand,Life Insurance Corporation of India
2980,J Mahesh,Male,5/18/1977,craft-repair,Hingna,Bhilai,Chhatisgarh,144526,noone,protective-serv,49,2980,Praveen,life insurance for one person,12/3/2012,7/7/2020,6%,offline,Pru Signature,ICICI Prudential Life Insurance Co. Ltd
2981,Jateen Mahapatr,Male,29367,tech-support,bahariya,Bangalore,Karnataka,811308,noone,craft-repair,31,2981,Rahul,life insurance for one person,8/5/1992,7/7/2020,5%,offline,term insurance with return,Bajaj Allianz Life Insurance Co. Ltd.
2982,JABBAR AHMED,Male,5/5/1966,armed-forces,jaitpur kalan,Gorakhpur,Uttar Pradesh,507318,noone,other-service,30,2982,Praveen,life insurance for one person,2/15/1990,7/7/2020,7.5%,offline,jeevan umang,HDFC Life Insurance Co. Ltd
2983,prabin jagdale,Male,31516,farming-fishing,balkeshwar,Vishakapatnam,Andhra Pradesh,843314,noone,protective-serv,24,2983,Praveen,life insurance for one person,12/8/2001,7/7/2020,5%,online,jeevan labh,Bajaj Allianz Life Insurance Co. Ltd.
2984,Jacob thomas Ed,Male,20968,sales,jafrabad,Nagpur,Maharashtra,761209,noone,other-service,26,2984,Ankit,life insurance for one person,2/10/1993,7/7/2020,6%,online,Health insurance plan,Max Life Insurance Co. Ltd.
2985,JACOB DINESH KU,Male,28933,prof-specialty,sonha,Bangalore,Karnataka,144626,noone,handlers-cleaners,33,2985,Rahul,life insurance for one person,8/18/2007,7/7/2020,6%,online,Term Insurance,Bajaj Allianz Life Insurance Co. Ltd.
2986,Robin Jacob,Male,1/21/1984,farming-fishing,alibag,Kollam,Kerala,121101,noone,machine-op-inspct,31,2986,suraj,life insurance for one person,3/29/2005,7/7/2020,7.5%,offline,Term Insurance,HDFC Life Insurance Co. Ltd
2987,JACOB TITUS,Male,4/22/1984,prof-specialty,indapur,Chennai,Tamil Nadu,262554,noone,adm-clerical,41,2987,Ajay,life insurance for one person,6/6/2011,7/7/2020,7.5%,online,Health insurance plan,HDFC Life Insurance Co. Ltd
2988,JADUNATH BANERJ,Male,1/23/1961,adm-clerical,alibag,Kolkata,West Bengal,396560,noone,adm-clerical,32,2988,Praveen,life insurance for one person,4/30/2007,7/7/2020,7.5%,online,Sampoorna samridhi plus,Life Insurance Corporation of India
2989,JAGADEESH MANDA,Male,1/4/1982,exec-managerial,Hingna,Hyderabad,Andhra Pradesh,721652,noone,prof-specialty,51,2989,Ajay,life insurance for one person,2/3/1993,7/7/2020,6%,offline,Life Uday,Life Insurance Corporation of India
2990,JAGADEESH KUMAR,Male,6/7/1982,handlers-cleaners,chamrauli,Nellore,Andhra Pradesh,246745,noone,prof-specialty,44,2990,Praveen,life insurance for one person,12/19/2011,7/7/2020,6%,offline,Term Insurance,Max Life Insurance Co. Ltd.
2991,Jagadeesh K S,Male,3/24/1987,machine-op-inspct,borivali,Kottayam,Kerala,781382,noone,exec-managerial,21,2991,Ajay,life insurance for one person,12/6/1991,7/7/2020,5%,online,jeevan anand,ICICI Prudential Life Insurance Co. Ltd
2992,Jagadeswari Cho,Female,5/25/1982,craft-repair,lakhandur,ANGALLU,Andhra Pradesh,209503,noone,tech-support,50,2992,Praveen,life insurance for one person,3/16/2008,7/7/2020,5%,offline,term insurance with return,Life Insurance Corporation of India
2993,jagadish manten,Male,6/8/1981,machine-op-inspct,Hingna,Bangalore,Karnataka,764056,noone,sales,32,2993,Ankit,life insurance for one person,8/24/2000,7/7/2020,6%,offline,term insurance with return,HDFC Life Insurance Co. Ltd
2994,UTLA JAGADISWAR,Male,7/1/1980,machine-op-inspct,chiplun,Bangalore,Karnataka,523225,noone,protective-serv,32,2994,suraj,life insurance for one person,10/29/1993,7/7/2020,7.5%,offline,Life Uday,Bajaj Allianz Life Insurance Co. Ltd.
2995,JAGADISH PARIMI,Male,8/1/1974,machine-op-inspct,banda,New Delhi,Delhi,361142,noone,priv-house-serv,27,2995,suraj,life insurance for one person,8/1/2010,7/7/2020,5%,offline,term insurance with return,Bajaj Allianz Life Insurance Co. Ltd.
2996,Jagadish Patra,Male,6/1/1991,other-service,jafrabad,Bhubaneshwar,Orissa,476111,noone,transport-moving,34,2996,Ajay,life insurance for one person,12/4/2007,7/7/2020,5%,online,jeevan anand,Max Life Insurance Co. Ltd.
2997,Jagamohan Malli,Male,5/2/1983,prof-specialty,Akola,Bhopal,Madhya Pradesh,416503,noone,other-service,49,2997,Ajay,life insurance for one person,5/9/2008,7/7/2020,5%,offline,Term Insurance,ICICI Prudential Life Insurance Co. Ltd
2998,Jagannath Rao K,Male,10/22/1966,craft-repair,indapur,Tumkur,Karnataka,690107,noone,exec-managerial,34,2998,Rahul,life insurance for one person,9/29/1999,7/7/2020,5%,offline,Health insurance plan,Max Life Insurance Co. Ltd.
2999,jagannadha rao,Male,29315,armed-forces,amarpura,Hyderabad,Andhra Pradesh,639118,noone,handlers-cleaners,51,2999,Rahul,life insurance for one person,8/9/2003,7/7/2020,5%,online,Pru Signature,ICICI Prudential Life Insurance Co. Ltd
3000,jagannadha rao,Male,3/31/1980,machine-op-inspct,kandhar,Hyderabad,Andhra Pradesh,144040,noone,craft-repair,33,3000,Rahul,life insurance for one person,12/19/1998,7/7/2020,7.5%,online,Sampoorna samridhi plus,Max Life Insurance Co. Ltd.
3001,jagan nathan,Female,2/17/1985,farming-fishing,chaka,Chennai,Tamil Nadu,123101,noone,adm-clerical,38,3001,Praveen,life insurance for one person,1/27/2000,7/7/2020,7.5%,online,Term Insurance,Max Life Insurance Co. Ltd.
3002,Jagannath Raja,Male,2/4/1977,tech-support,amarpura,Chennai,Tamil Nadu,583275,noone,machine-op-inspct,50,3002,suraj,life insurance for one person,3/1/2002,7/7/2020,6%,offline,sampoorna nivesh,Life Insurance Corporation of India
3003,SUYAMBULINGAM J,Male,7/16/1982,tech-support,Ardhapur,Bhubaneshwar,Orissa,383355,noone,prof-specialty,31,3003,Ajay,life insurance for one person,2/15/1990,7/7/2020,6%,online,sampoorna nivesh,ICICI Prudential Life Insurance Co. Ltd
3004,JAGAN SUTAR,Male,10/15/1965,priv-house-serv,kurla,Bhubaneshwar,Orissa,423401,noone,armed-forces,31,3004,Ankit,life insurance for one person,7/23/1996,7/7/2020,6%,offline,Sampoorna samridhi plus,HDFC Life Insurance Co. Ltd
3005,jagdeep singh,Male,7/24/1988,exec-managerial,medhava,Lucknow,Uttar Pradesh,835220,noone,farming-fishing,47,3005,Ankit,life insurance for one person,8/16/2003,7/7/2020,7.5%,offline,Pru Signature,ICICI Prudential Life Insurance Co. Ltd
3006,jagdish martoli,Male,7/15/1984,other-service,pathardi,Vadodara,Gujarat,456770,noone,handlers-cleaners,36,3006,Ankit,life insurance for one person,6/4/2000,7/7/2020,5%,offline,Life Uday,Max Life Insurance Co. Ltd.
3007,sunita maharana,female,5/3/1976,farming-fishing,bhokar,theruvali,Orissa,410403,noone,handlers-cleaners,38,3007,Praveen,life insurance for one person,9/19/2004,7/7/2020,6%,offline,sanchay,Bajaj Allianz Life Insurance Co. Ltd.
3008,Jagadish GP,Male,9/3/1974,priv-house-serv,deglur,Bangalore,Karnataka,244414,noone,tech-support,28,3008,Ankit,life insurance for one person,1/28/2010,7/7/2020,6%,offline,Sampoorna samridhi plus,Max Life Insurance Co. Ltd.
3009,jagedish patel,Male,31055,tech-support,nunhai,valsad,Gujarat,143517,noone,prof-specialty,47,3009,suraj,life insurance for one person,10/11/1994,7/7/2020,5%,online,Pru Signature,Life Insurance Corporation of India
3010,JAGRITI GOSWAMI,Female,10/9/1981,tech-support,sadarban,Pune,Maharashtra,679502,noone,prof-specialty,31,3010,Ajay,life insurance for one person,9/6/2008,7/7/2020,7.5%,online,jeevan umang,ICICI Prudential Life Insurance Co. Ltd
3011,jagtar singh,Male,3/15/1988,machine-op-inspct,karad,Ambala,Haryana,607203,noone,prof-specialty,38,3011,Rahul,life insurance for one person,7/24/1999,7/7/2020,7.5%,offline,Life Uday,Max Life Insurance Co. Ltd.
3012,JAGANNATH PATRA,Male,2/12/1977,machine-op-inspct,jasra,Rourkela,Orissa,227813,noone,adm-clerical,43,3012,Rahul,life insurance for one person,10/12/1998,7/7/2020,6%,offline,Term Insurance,Bajaj Allianz Life Insurance Co. Ltd.
3013,jai keshari,Male,1/6/1976,transport-moving,shrigonda,Varanasi,Uttar Pradesh,477222,noone,sales,36,3013,Rahul,life insurance for one person,12/16/1998,7/7/2020,6%,online,Life Uday,HDFC Life Insurance Co. Ltd
3014,JAI KUMAR,Male,10/14/1983,adm-clerical,chamrauli,Chennai,Tamil Nadu,768103,noone,protective-serv,45,3014,Rahul,life insurance for one person,5/21/2000,7/7/2020,7.5%,online,Pru Signature,Life Insurance Corporation of India
3015,Jaikumar Davulu,Male,5/1/1960,adm-clerical,juni,Hyderabad,Andhra Pradesh,781104,noone,prof-specialty,27,3015,Ajay,life insurance for one person,11/13/1995,7/7/2020,5%,online,Term Insurance,HDFC Life Insurance Co. Ltd
3016,pichai kumar,Male,10/5/1957,machine-op-inspct,bahariya,0,Madhya Pradesh,451113,noone,farming-fishing,26,3016,Ankit,life insurance for one person,12/11/1998,7/7/2020,5%,offline,aadhar shila,Bajaj Allianz Life Insurance Co. Ltd.
3017,Sona Kuruppal,Female,27475,craft-repair,mandi,Chennai,Tamil Nadu,676503,noone,handlers-cleaners,31,3017,Rahul,life insurance for one person,12/4/2013,7/7/2020,5%,online,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
3018,GAURAV JAIN,Male,1/21/1988,priv-house-serv,hadgaon,Secunderabad,Andhra Pradesh,635119,noone,exec-managerial,33,3018,Rahul,life insurance for one person,8/5/1992,7/7/2020,5%,offline,Health insurance plan,ICICI Prudential Life Insurance Co. Ltd
3019,ANOOP KUMAR JAI,Male,9/23/1986,sales,chamrauli,Indore,Madhya Pradesh,523305,noone,other-service,41,3019,Praveen,life insurance for one person,10/3/2014,7/7/2020,6%,online,term insurance with return,ICICI Prudential Life Insurance Co. Ltd
3020,aayush jain,Male,10/14/1991,priv-house-serv,kinwat,Surat,Gujarat,394380,noone,transport-moving,33,3020,Ankit,life insurance for one person,4/29/1990,7/7/2020,6%,online,aadhar shila,HDFC Life Insurance Co. Ltd
3021,Siddharth jain,Male,3/30/1991,priv-house-serv,mahoba,Indore,Madhya Pradesh,382150,noone,armed-forces,45,3021,Ajay,life insurance for one person,10/25/2012,7/7/2020,6%,offline,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
3022,JN N,Male,6/29/1978,farming-fishing,mandi,Chennai,Tamil Nadu,522613,noone,machine-op-inspct,43,3022,Praveen,life insurance for one person,12/4/2005,7/7/2020,5%,online,Sampoorna samridhi plus,HDFC Life Insurance Co. Ltd
3023,jaisankar reddy,Male,8/27/1983,farming-fishing,kagal,Guntur,Andhra Pradesh,202134,noone,exec-managerial,33,3023,Ajay,life insurance for one person,12/11/1998,7/7/2020,5%,offline,Pru Signature,Life Insurance Corporation of India
3024,JAISIN RAJA,Male,12/20/1980,farming-fishing,Ajhai,Chennai,Tamil Nadu,423104,noone,armed-forces,37,3024,Praveen,life insurance for one person,8/15/1990,7/7/2020,6%,offline,Pru Signature,Life Insurance Corporation of India
3025,rajesh mall,Male,11/22/1976,armed-forces,borivali,deoria,Uttar Pradesh,759126,noone,handlers-cleaners,39,3025,Ajay,life insurance for one person,5/25/1990,7/7/2020,7.5%,online,sanchay,ICICI Prudential Life Insurance Co. Ltd
3026,VEERENDRA JAISW,Male,2/10/1986,prof-specialty,karad,Satna,Madhya Pradesh,383270,noone,craft-repair,49,3026,suraj,life insurance for one person,6/18/2011,7/7/2020,7.5%,online,Health insurance plan,HDFC Life Insurance Co. Ltd
3027,nikhil jaiswal,Male,1/6/1988,craft-repair,kurla,Allahabad,Uttar Pradesh,175037,noone,armed-forces,37,3027,Rahul,life insurance for one person,7/5/2003,7/7/2020,5%,online,term insurance with return,Life Insurance Corporation of India
3028,anil jaiswal,Male,23450,handlers-cleaners,rahata,KAIMUR,Bihar,414302,noone,priv-house-serv,42,3028,Ajay,life insurance for one person,5/6/2007,7/7/2020,5%,offline,term insurance with return,Bajaj Allianz Life Insurance Co. Ltd.
3029,RAVI KANT JAISW,Male,5/13/1988,handlers-cleaners,nevasa,ANKLESHWAR,Gujarat,360579,noone,exec-managerial,44,3029,Ajay,life insurance for one person,1/28/1998,7/7/2020,5%,online,Term Insurance,ICICI Prudential Life Insurance Co. Ltd
3030,jaisree ganesan,female,6/22/1987,armed-forces,kehrai,Chennai,Tamil Nadu,125102,noone,protective-serv,55,3030,suraj,life insurance for one person,12/13/1993,7/7/2020,7.5%,online,jeevan labh,Life Insurance Corporation of India
3031,JAMEEL AHMED SA,Male,5/1/1973,handlers-cleaners,howra,Hyderabad,Andhra Pradesh,312605,noone,machine-op-inspct,41,3031,Praveen,life insurance for one person,5/19/1993,7/7/2020,7.5%,online,Term Insurance,HDFC Life Insurance Co. Ltd
3032,Jameer Syed,Male,26288,other-service,jamkhed,Nellore,Andhra Pradesh,637302,noone,other-service,53,3032,Ajay,life insurance for one person,3/14/2012,7/7/2020,7.5%,offline,jeevan labh,Life Insurance Corporation of India
3033,JAMES MODI,Male,7/27/1987,priv-house-serv,jasra,Jhansi,Uttar Pradesh,722133,noone,tech-support,34,3033,Ajay,life insurance for one person,8/25/2011,7/7/2020,6%,offline,Sampoorna samridhi plus,Life Insurance Corporation of India
3034,abhishek kumar,Male,6/16/1988,handlers-cleaners,parner,lakhisarai,Bihar,805130,noone,protective-serv,31,3034,suraj,life insurance for one person,9/19/1995,7/7/2020,6%,offline,jeevan anand,ICICI Prudential Life Insurance Co. Ltd
3035,james lakra,Male,9/20/1982,priv-house-serv,meja,Bilaspur,Chhatisgarh,495691,noone,tech-support,49,3035,suraj,life insurance for one person,1/9/2002,7/7/2020,6%,offline,sampoorna nivesh,Max Life Insurance Co. Ltd.
3036,James Antony,Male,2/28/1980,craft-repair,manda,Mumbai,Maharashtra,788725,noone,armed-forces,34,3036,Ankit,life insurance for one person,2/25/2005,7/7/2020,7.5%,online,Life Uday,Max Life Insurance Co. Ltd.
3037,arun dantam,Male,1/4/1981,sales,borivali,Berhampur,Orissa,415701,noone,sales,25,3037,suraj,life insurance for one person,6/6/1992,7/7/2020,7.5%,online,aadhar shila,ICICI Prudential Life Insurance Co. Ltd
3038,MOHAMED JAMEEL,Male,10/27/1987,tech-support,rahata,Chennai,Tamil Nadu,144002,noone,tech-support,38,3038,suraj,life insurance for one person,7/5/2000,7/7/2020,7.5%,online,Term Insurance,Life Insurance Corporation of India
3039,Dhaneswar jamud,Male,5/15/1980,tech-support,bada,Bhubaneshwar,Orissa,524421,noone,machine-op-inspct,43,3039,Ajay,life insurance for one person,3/18/2003,7/7/2020,6%,offline,aadhar shila,Max Life Insurance Co. Ltd.
3040,janaki raman,Male,24565,armed-forces,akole,Chennai,Tamil Nadu,125037,noone,farming-fishing,39,3040,Ajay,life insurance for one person,3/24/2006,7/7/2020,6%,online,jeevan umang,Life Insurance Corporation of India
3041,janardhanreddy,Male,30614,protective-serv,balkeshwar,Kurnool,Andhra Pradesh,273209,noone,priv-house-serv,30,3041,suraj,life insurance for one person,3/4/2003,7/7/2020,6%,online,jeevan umang,Max Life Insurance Co. Ltd.
3042,janarthanan Sel,Male,5/9/1982,tech-support,hadgaon,Erode,Tamil Nadu,516502,noone,transport-moving,41,3042,Praveen,life insurance for one person,8/15/1999,7/7/2020,5%,offline,Pru Signature,Max Life Insurance Co. Ltd.
3043,Jane Suguna,female,12/12/1983,armed-forces,meja,Chennai,Tamil Nadu,413305,noone,machine-op-inspct,37,3043,Ajay,life insurance for one person,2/24/2012,7/7/2020,5%,offline,Term Insurance,Bajaj Allianz Life Insurance Co. Ltd.
3044,JANESH SURANA,Male,8/18/1986,protective-serv,artauni,Chennai,Tamil Nadu,572130,noone,other-service,38,3044,Praveen,life insurance for one person,8/9/2002,7/7/2020,6%,offline,Term Insurance,Bajaj Allianz Life Insurance Co. Ltd.
